conversation	split	sentence	g015	g030	g040	g050	g070
conversation_sample_4.mp3	dev	0.6486	0.6983	0.6983	0.6486	0.6486	0.6634
conversation_sample_5.mp3	dev	0.9176	0.8652	0.9176	0.8883	0.9093	0.8378
conversation_sample_10.mp3	dev	0.9250	0.9250	0.7848	0.6986	0.7537	0.9250
conversation_sample_17.mp3	dev	0.6122	0.6471	0.6122	0.6122	0.6122	0.5259
conversation_sample_18.mp3	dev	0.9456	0.9168	0.9456	0.9456	0.9758	0.7122
conversation_sample_19.mp3	test	0.7067	0.7866	0.6055	0.7004	0.7418	0.6405
conversation_sample_23.mp3	dev	0.4885	0.4724	0.5620	0.5765	0.5383	0.4271
conversation_sample_33.mp3	dev	0.6778	0.7147	0.7875	0.7836	0.7725	0.6312
conversation_sample_37.mp3	dev	0.6711	0.6954	0.6585	0.5883	0.5420	0.5428
conversation_sample_39.mp3	test	0.7976	0.7665	0.6711	0.7022	0.7022	0.7982
conversation_sample_43.mp3	dev	0.8876	0.8876	0.8876	0.8876	0.7887	0.5760
conversation_sample_47.mp3	test	0.8460	0.8460	0.8460	0.8460	0.8460	0.9866
conversation_sample_48.mp3	dev	0.7677	0.7579	0.7127	0.7550	0.6565	0.5896
conversation_sample_50.mp3	test	0.8800	0.8800	0.8945	0.8656	0.8945	0.6219
conversation_sample_54.mp3	test	0.9044	0.9838	0.8859	0.7258	0.8159	0.8159
conversation_sample_55.mp3	test	0.8708	0.8638	0.8485	0.8155	0.8155	0.8155
conversation_sample_56.mp3	test	0.8162	0.8162	0.8162	0.8162	0.6890	0.7595
conversation_sample_57.mp3	test	0.5212	0.7198	0.5879	0.6127	0.6483	0.6542
conversation_sample_64.mp3	test	0.7043	0.7137	0.7637	0.7637	0.7462	0.6137
conversation_sample_66.mp3	test	0.7659	0.6763	0.6763	0.6763	0.6434	0.6663
conversation_sample_67.mp3	test	0.8340	0.8395	0.8340	0.8340	0.8340	0.7081
conversation_sample_69.mp3	test	0.6679	0.6777	0.6777	0.6737	0.5239	0.6382
conversation_sample_71.mp3	dev	0.8614	0.9169	0.8614	0.8614	0.8614	0.7776
conversation_sample_75.mp3	test	0.8034	0.8034	0.7858	0.7041	0.6208	0.7758
conversation_sample_77.mp3	test	0.7867	0.8259	0.6770	0.6383	0.5608	0.7610
conversation_sample_79.mp3	dev	0.7083	0.6675	0.6450	0.7258	0.7286	0.6426
conversation_sample_82.mp3	dev	0.6650	0.6034	0.6034	0.6936	0.7085	0.4540
conversation_sample_84.mp3	dev	0.8879	0.7584	0.7584	0.7746	0.8559	0.7025
conversation_sample_86.mp3	test	0.7232	0.7728	0.7728	0.7728	0.7728	0.6248
conversation_sample_90.mp3	dev	0.7761	0.8625	0.7185	0.7185	0.7185	0.7185
conversation_sample_95.mp3	test	0.6497	0.6497	0.5939	0.6350	0.7177	0.6915
